name,Built Environment - Urban Landscape,Built Environment - Architectural Landmarks,Built Environment - Urban Design,Built Environment - Residential Areas,Natural Environment - Green Spaces,Natural Environment - Water Bodies,Natural Environment - Environmental Quality,Natural Environment - Climate Resilience,Cultural Heritage - Tangible Heritage,Cultural Heritage - Intangible Heritage,Cultural Heritage - Contemporary Culture,Cultural Heritage - Culinary Heritage,Social Dynamics - Community Life,Social Dynamics - Social Cohesion,Social Dynamics - Safety,Social Dynamics - Education,Economic Factors - Commercial Activity,Economic Factors - Employment,Economic Factors - Innovation,Economic Factors - Tourism,Urban Mobility - Public Transportation,Urban Mobility - Active Mobility,Urban Mobility - Traffic Management,Urban Mobility - Accessibility,Governance & Planning - Urban Policies,Governance & Planning - Civic Engagement,Governance & Planning - Smart City Initiatives,Governance & Planning - Sustainability Measures
玄武区,0.8307967803472133,0.9185796915243264,0.7440442535986647,0.4383991634847285,0.6344518101607486,0.9178763121918609,0.09940409983981142,0.16763735600512455,1.0283926736885636,0.7877465190841832,0.8834206687868421,0.8054334415533676,0.3641971939633003,0.3021635847372145,0.5762927209438271,0.9783653933319476,0.988182358303782,1.0010200981841055,1.0438550989393147,0.9201384145996547,0.9468611810767424,0.8148229466999279,0.30238017759071756,0.9050882036493813,0.8653993318570052,0.8184279563989596,1.0547024507810476,0.7014298388359171
秦淮区,1.0455688097902283,0.9940801049726885,1.0148880125459199,0.680061911357102,0.5418848719200243,0.770636529111691,0.450944349761124,0.5364771383317907,0.9596984840164715,0.9558421377451761,1.0309070297640341,0.914561618041021,0.5697686110699135,0.5515236710217915,0.7767746537248755,1.017155454147588,0.9407289997659845,0.9630062861768306,1.0231861928695216,1.034493162489815,0.9919187127268765,0.9979571033201996,0.4263745810979495,0.9862984092876027,1.1057877860958327,0.8787980709000249,0.9912199349644484,0.979011629367541
建邺区,0.654172708761228,0.7887497048314813,0.614022949664389,0.26015242821127255,0.2683992653721207,0.4903610106380696,0.0974940412162375,0.18909480508130286,0.8899604066979633,0.6675724071970314,0.774814775966343,0.7084826444735425,0.2984524676034033,0.20756847372851883,0.45248345159016407,0.7608952157363766,0.8800553753873225,0.7147456665378138,0.928890844544057,0.7418389729954799,0.7329362664490857,0.6940501012134552,0.1955152186596237,0.8105283988814294,0.6897372685192956,0.5823286628132003,0.7620190579475845,0.6476146730518606
鼓楼区,0.935581132523541,1.0603796085215131,0.9141779035305455,0.4962114586389273,0.4677422586186625,0.6922981642016633,0.17353312800376697,0.4497928764359247,1.0143486979226968,0.9400928666020082,0.9792066329294108,0.899849369840808,0.5253367331243419,0.44313984928952443,0.7158902584600941,0.9692490994330102,1.038521260855832,1.06914522172324,0.9757845409706816,1.1282028974650173,0.9286937233665351,0.8411051678509713,0.4591707124769593,1.0440148124626625,1.007794245441223,0.6986668935128331,0.9793843440632569,0.9473106413331613
浦口区,0.03336277646058576,0.11152436073017516,0.08596919919175929,0.1846107191660094,0.2514321315151533,0.26784283871094444,-0.035091114608265195,0.012808072921691234,-0.004260882178271946,0.11370028925427858,0.19479751216001817,0.19564455783188053,0.18996435258313582,0.1272333722159195,0.16852417259754582,0.18758685496074423,0.23383851353584775,0.256830238585228,0.2822687908533253,0.03921233129163748,0.13030825453057282,0.053148899780003714,-0.1330353624128568,0.27379266402436425,0.2586119623379197,0.12855969602839812,0.12940195117278744,0.2795272377510898
栖霞区,0.33803809678630925,0.22161543655953853,0.21872925547254893,0.2670550789011899,0.3072468707390591,0.28202813629875495,0.07220865392744841,0.09900591948555676,0.10693255481615883,0.20251532613776604,0.3257636426493383,0.34727049499885665,0.2546982102748863,0.3008443772093458,0.3097426410600924,0.27025548514652176,0.3259319823806784,0.2771516338211288,0.3076613782764299,0.20771236568670343,0.1256614608649832,0.2809401012510299,0.05115706023436132,0.3761842099720303,0.29495885049073967,0.21876256278093592,0.32411359453514715,0.40383080527292303
雨花台区,0.2892157236549372,0.3270500936301815,0.24755858329591623,0.43318686069440104,0.38087584912709543,0.46783166910917273,0.004774396406741432,0.23204519247046182,0.2850130711695399,0.312174786940395,0.45970909812755345,0.46891373931678626,0.44874251423480654,0.32047067089345654,0.39206627781446823,0.3504409845194975,0.3687646638418949,0.39435041090659567,0.4716665293744947,0.29206722520657075,0.3158213036524542,0.3607577504435877,0.10457928693468815,0.41859799503792494,0.474928241943254,0.2718503164232167,0.3790050150110439,0.5784354505505465
江宁区,0.3838367355351972,0.40664680926113456,0.2940321315980679,0.5505070730214309,0.5051738882656592,0.3643754754076013,0.20877105376500563,0.2914043314464121,0.4227281741149828,0.4464048888308097,0.5048272631769387,0.5341792872600541,0.4882271638897653,0.4318986635075387,0.49791892533537424,0.5077203638480846,0.6375951309016349,0.4387532474905524,0.858174272901563,0.3406679241317476,0.42223275928334797,0.43710422942619,0.13073140671651337,0.49140341548177396,0.5842824150709582,0.39590746342559713,0.5565626395198869,0.5228231094082444
六合区,-0.14284670485550408,-0.17400638868250085,-0.317543265348677,-0.043430359463280215,0.17327966569883155,0.2673927890664518,0.16942955607220914,0.09878613600540291,-0.16279808646754196,0.09514502162983385,-0.27499184556617723,-0.0066529042335534225,0.20510644604355166,0.2550828356998184,0.22780283239144278,-0.11105986658628995,-0.15115504609814673,-0.09555238636951491,-0.1464666097051137,-0.2185104711406625,-0.24976776819620086,-0.1530075948235156,-0.05536597566731558,-0.09268759960905723,-0.02301477220969234,-0.16556105050875575,-0.11373737475872088,0.0658471781616281
溧水区,-0.6209352420403225,-0.5059161711340495,-0.6522956334428549,0.0022383433547451793,0.0023756563494659044,0.16487030574313125,0.16150806567285736,-0.02776119995643809,-0.17956572479379534,0.10271594432271186,-0.5684276853233031,0.05628393921848149,0.12755338727379542,0.10318088799750852,0.07290504378057264,-0.4905139558220971,-0.6347710814944988,-0.44170431423143,-0.6390150826928452,-0.0988346199557065,-0.5554630958112554,-0.45769932276643654,-0.05403485651461223,-0.473893982137246,-0.3133892373757176,-0.3400777523584157,-0.4307778944157177,-0.27803486211592643
高淳区,-0.6272536095837167,-0.6024904315913289,-0.7890278341605241,-0.03577334830330532,-0.013974953290002015,0.04511273366945959,0.24180305255797618,-0.18027044955922816,-0.16816842577935925,0.2569085370068903,-0.5773078912927145,-0.17469148206071206,0.0019438803961473435,-0.031892654836472044,0.03194455229683866,-0.5406806293892357,-0.7020785048771262,-0.627130242087914,-0.6679905088146437,-0.2324986605931735,-0.7858896811880816,-0.6161678106143105,-0.17237379573708075,-0.5740966528077455,-0.44624585894820185,-0.5244849737264156,-0.562127212534148,-0.4444105377723624
